buckets,startDay,endDay,microCeph,births,local,N_H,L_H
30,669,699,0,12260,para,8175113,71.7
31,699,730,1,12196,para,8175113,71.7
31,730,761,1,10896,para,8175113,71.7
28,761,789,0,11883,para,8175113,71.7
31,789,820,0,12079,para,8175113,71.7
30,820,850,1,12129,para,8175113,71.7
31,850,881,0,11837,para,8175113,71.7
30,881,911,0,11959,para,8175113,71.7
31,911,942,0,12044,para,8175113,71.7
31,942,973,1,12283,para,8175113,71.7
30,973,1003,1,12597,para,8175113,71.7
31,1003,1034,8,11915,para,8175113,71.7
30,1034,1064,4,11802,para,8175113,71.7
31,1064,1095,7,11588,para,8175113,71.7
31,1095,1126,3,10872,para,8175113,71.7
28,1126,1154,4,11463,para,8175113,71.7
31,1154,1185,4,11615,para,8175113,71.7
30,1185,1215,10,11617,para,8175113,71.7
31,1215,1246,5,11386,para,8175113,71.7
30,1246,1276,7,11297,para,8175113,71.7
31,1276,1307,8,11614,para,8175113,71.7
31,1307,1338,5,11626,para,8175113,71.7
30,1338,1368,2,11404,para,8175113,71.7
31,1368,1399,4,10715,para,8175113,71.7
30,1399,1429,0,10098,para,8175113,71.7
31,365,396,1,4455,paraiba,3972202,72.6
28,396,424,1,5070,paraiba,3972202,72.6
31,424,455,0,4967,paraiba,3972202,72.6
30,455,485,1,5181,paraiba,3972202,72.6
31,485,516,0,4727,paraiba,3972202,72.6
30,516,546,0,5082,paraiba,3972202,72.6
31,546,577,0,4723,paraiba,3972202,72.6
31,577,608,0,4969,paraiba,3972202,72.6
30,608,638,2,4790,paraiba,3972202,72.6
31,638,669,0,4487,paraiba,3972202,72.6
30,669,699,1,4538,paraiba,3972202,72.6
31,699,730,0,4735,paraiba,3972202,72.6
31,730,761,0,4482,paraiba,3972202,72.6
28,761,789,1,5417,paraiba,3972202,72.6
31,789,820,1,5088,paraiba,3972202,72.6
30,820,850,1,5237,paraiba,3972202,72.6
31,850,881,0,4882,paraiba,3972202,72.6
30,881,911,1,5054,paraiba,3972202,72.6
31,911,942,4,4991,paraiba,3972202,72.6
31,942,973,3,4916,paraiba,3972202,72.6
30,973,1003,16,4950,paraiba,3972202,72.6
31,1003,1034,38,4616,paraiba,3972202,72.6
30,1034,1064,55,4734,paraiba,3972202,72.6
31,1064,1095,20,4675,paraiba,3972202,72.6
31,1095,1126,20,4630,paraiba,3972202,72.6
28,1126,1154,17,5426,paraiba,3972202,72.6
31,1154,1185,4,5203,paraiba,3972202,72.6
30,1185,1215,1,5229,paraiba,3972202,72.6
31,1215,1246,2,4885,paraiba,3972202,72.6
30,1246,1276,0,5102,paraiba,3972202,72.6
31,1276,1307,1,4660,paraiba,3972202,72.6
31,1307,1338,1,4253,paraiba,3972202,72.6
30,1338,1368,2,4096,paraiba,3972202,72.6
